CD,Name,Family,DBH1,DBH2,Time
EUGEDU,Syzygium_duthieana,Myrtaceae,5.654268293,5.281097561,10.36267073
EUGEFI,Syzygium_filiformis,Myrtaceae,4.1,5,11.2
EUGEGR,Syzygium_griffithii,Myrtaceae,10,10.8,10.121
EUGEIN,Syzygium_inophylla,Myrtaceae,6.1,6.7,10.266
EUGENA,Syzygium_napiformis,Myrtaceae,4,5.2,10.532
EUGENI,Syzygium_nigricans,Myrtaceae,8.6,8.6,10.189
EUGEP2,Syzygium_polita,Myrtaceae,2.9,3,10.208
EUGEP3,Syzygium_pseudosubtilis,Myrtaceae,4.9,6.5,10.107
EUGEP4,Syzygium_pseudocrenulata,Myrtaceae,2.7,2.8,10.112
EUGEPR,Syzygium_prainiana,Myrtaceae,4.2,4.3,11.071
EUGEPU,Syzygium_pustulata,Myrtaceae,4.1,5.1,10.271
EUGERI,Syzygium_ridleyi,Myrtaceae,3.4,3.9,10.184
EUGES2,Syzygium_syzygioides,Myrtaceae,8.3,8.2,10.438
EUGESB,Syzygium_speciesb,Myrtaceae,3.7,5,11.184
EUGESD,Syzygium_speciesd,Myrtaceae,3.1,3.2,10.244
EUGEST,Syzygium_scortechinii,Myrtaceae,3.2,3.7,10.09
EUGESU,Syzygium_subdecussata,Myrtaceae,2.7,2.8,10.121
EUGETU,Syzygium_tumida,Myrtaceae,2.2,2.6,10.296
EUGEV2,Syzygium_variolosa,Myrtaceae,3.3,3.3,10.216
PSE1SI,Pseudoeugenia_singaporensis,Myrtaceae,8.4,9.3,10.529
RHODCI,Rhodamnia_cinerea,Myrtaceae,2,2,10.29
ANACHE,Anacolosa_frutescens,Olacaceae,7,10.9,10.51
OCHAAM,Ochanostachys_amentacea,Olacaceae,3.8,3.9,10.178
CHAMMA,Champereia_manillana,Opiliaceae,11.3,16.5,10.29
SAR1GR,Sarcotheca_griffithii,Oxalidaceae,3.1,3.3,10.104
SAR1MO,Sarcotheca_monophylla,Oxalidaceae,9.7,9.6,10.6
GALEFU,Galearia_fulva,Pandaceae,4.1,4.2,10.496
MIC1CA,Microdesmis_caseariifolia,Pandaceae,5.4,6.1,10.107
PAROVA,Paropsia_vareciformis,Passifloraceae,2.8,3.4,11.071
ANT1CO,Antidesma_coriaceum,Phyllanthaceae,3.1,3.2,10.51
ANT1CU,Antidesma_cuspidatum,Phyllanthaceae,5.5,5.8,10.263
APORAU,Aporusa_aurea,Phyllanthaceae,4.6,4.7,10.249
APORBR,Aporusa_subcaudata,Phyllanthaceae,2,2.1,10.603
APORFA,Aporusa_falcifera,Phyllanthaceae,42.7,44.4,10.195
APORGL,Aporusa_globifera,Phyllanthaceae,5.4,5.8,10.145
APORM1,Aporusa_microstachya,Phyllanthaceae,4.7,4.5,10.266
APORM2,Aporusa_lucida,Phyllanthaceae,5.6,5.6,10.293
APORN1,Aporusa_nigricans,Phyllanthaceae,3.7,3.9,10.277
APORN2,Aporusa_sessiliflora,Phyllanthaceae,2.3,4.1,10.493
APORNE,Aporusa_nervosa,Phyllanthaceae,11.6,12,10.6
APORPR,Aporusa_prainiana,Phyllanthaceae,2.2,3,10.414
APORSY,Aporusa_symplocoides,Phyllanthaceae,4,8.4,10.189
BACCPA,Baccaurea_parviflora,Phyllanthaceae,16,17.7,10.088
BACCRA,Baccaurea_racemosa,Phyllanthaceae,2.5,3.2,10.389
BACCRE,Baccaurea_reticulata,Phyllanthaceae,4.9,5.5,10.277
CLE1M2,Cleistanthus_maingayi,Phyllanthaceae,22.1,23.6,10.271
CLE1SU,Cleistanthus_sumatranus,Phyllanthaceae,8.3,8.3,10.312
GLOCWA,Glochidion_wallichiana,Phyllanthaceae,2.6,3,10.236
XANTAF,Xanthophyllum_affine,Polygalaceae,3.2,3.5,10.142
XANTAM,Xanthophyllum_amoenum,Polygalaceae,2.1,2,10.49
XANTCH,Xanthophyllum_chartaceum,Polygalaceae,2.2,2.4,10.386
